Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0.32;-0.08;0.0085;0.0302;0.1095;0.15;0.04248357;0.08875906;0.132402;0.004;-0.048;0.15;0.01243016;-0.05854757;0.1487087;0.04629;0.05559999;0.15;0.0604949;0.0466285;0.1424462
0.32;-0.12;0.0085;0.0302;0.1095;0.15;0.02831388;0.08473445;0.1338931;0.004;-0.048;0.15;0.008625478;-0.06669703;0.1488734;0.04629;0.05559999;0.15;0.05972528;0.03965064;0.1410432
0.28;-0.12;0.0085;0.0302;0.1095;0.15;0.03862576;0.09570297;0.1365993;0.004;-0.048;0.15;0.007271111;-0.05049658;0.15179;0.04629;0.05559999;0.15;0.05704848;0.05312058;0.1493669
0.24;-0.12;0.0085;0.0302;0.1095;0.15;0.03611895;0.09792451;0.1400857;0.004;-0.048;0.15;0.005499348;-0.04490614;0.1522127;0.04629;0.05559999;0.15;0.0523167;0.05853034;0.151712
0.2;-0.12;0.0085;0.0302;0.1095;0.15;0.03457884;0.09782853;0.145789;0.004;-0.048;0.15;0.0049593;-0.04472016;0.1524783;0.04629;0.05559999;0.15;0.05033998;0.05942757;0.1536329
0.16;-0.12;0.0085;0.0302;0.1095;0.15;0.02912728;0.09207576;0.1487349;0.004;-0.048;0.15;0.001558408;-0.04794542;0.1519069;0.04629;0.05559999;0.15;0.04708485;0.05476376;0.1520627
0.12;-0.12;0.0085;0.0302;0.1095;0.15;0.03833797;0.08396222;0.148554;0.004;-0.048;0.15;0.006342649;-0.05162375;0.1523676;0.04629;0.05559999;0.15;0.05559013;0.04965837;0.1520102
0.08;-0.12;0.0085;0.0302;0.1095;0.15;0.03842429;0.07371529;0.1399328;0.004;-0.048;0.15;0.006364211;-0.05624591;0.155455;0.04629;0.05559999;0.15;0.0581855;0.04318335;0.1516261
0.04;-0.12;0.0085;0.0302;0.1095;0.15;0.0384822;0.06087498;0.1273994;0.004;-0.048;0.15;0.005849916;-0.05685848;0.1643194;0.04629;0.05559999;0.15;0.05690004;0.03532637;0.1491306
0;-0.12;0.0085;0.0302;0.1095;0.15;0.03592611;0.05191501;0.1386878;0.004;-0.048;0.15;0.003746677;-0.05681011;0.1674372;0.04629;0.05559999;0.15;0.05966998;0.02800576;0.1524585
